Address	 | Frame	 | Content	 | Present-Bit
-------	 | --------	 | --------	 | --------
0x00	 | 0		 | X		 | 1
0x01	 | 0		 | 8		 | 1
0x02	 | 0		 | m		 | 1
0x03	 | 0		 | ]		 | 1
0x04	 | 0		 | ^		 | 1
0x05	 | 0		 | q		 | 1
0x06	 | 0		 | _		 | 1
0x07	 | 0		 | 1		 | 1
0x08	 | 0		 | )		 | 1
0x09	 | 0		 | ,		 | 1
0x0a	 | 0		 | `		 | 1
0x0b	 | 0		 | T		 | 1
0x0c	 | 0		 | 7		 | 1
0x0d	 | 0		 | Z		 | 1
0x0e	 | 0		 | w		 | 1
0x0f	 | 0		 | n		 | 1
0x010	 | 0		 | d		 | 1
0x011	 | 0		 | 9		 | 1
0x012	 | 0		 | 8		 | 1
0x013	 | 0		 | j		 | 1
0x014	 | 0		 | e		 | 1
0x015	 | 0		 | "		 | 1
0x016	 | 0		 | k		 | 1
0x017	 | 0		 | U		 | 1
0x018	 | 0		 | D		 | 1
0x019	 | 0		 | E		 | 1
0x01a	 | 0		 | 4		 | 1
0x01b	 | 0		 | ]		 | 1
0x01c	 | 0		 | d		 | 1
0x01d	 | 0		 | @		 | 1
0x01e	 | 0		 | G		 | 1
0x01f	 | 0		 | %		 | 1
0x020	 | 0		 | z		 | 1
0x021	 | 0		 | [		 | 1
0x022	 | 0		 | X		 | 1
0x023	 | 0		 | F		 | 1
0x024	 | 0		 | C		 | 1
0x025	 | 0		 | =		 | 1
0x026	 | 0		 | P		 | 1
0x027	 | 0		 | h		 | 1
0x028	 | 0		 | "		 | 1
0x029	 | 0		 | B		 | 1
0x02a	 | 0		 | K		 | 1
0x02b	 | 0		 | w		 | 1
0x02c	 | 0		 | z		 | 1
0x02d	 | 0		 | i		 | 1
0x02e	 | 0		 | D		 | 1
0x02f	 | 0		 | x		 | 1
0x030	 | 0		 | O		 | 1
0x031	 | 0		 | {		 | 1
0x032	 | 0		 | T		 | 1
0x033	 | 0		 | m		 | 1
0x034	 | 0		 | -		 | 1
0x035	 | 0		 | D		 | 1
0x036	 | 0		 | k		 | 1
0x037	 | 0		 | H		 | 1
0x038	 | 0		 | E		 | 1
0x039	 | 0		 | {		 | 1
0x03a	 | 0		 | V		 | 1
0x03b	 | 0		 | D		 | 1
0x03c	 | 0		 | d		 | 1
0x03d	 | 0		 | 3		 | 1
0x03e	 | 0		 | $		 | 1
0x03f	 | 0		 | g		 | 1
0x040	 | 0		 | "		 | 1
0x041	 | 0		 | &		 | 1
0x042	 | 0		 | R		 | 1
0x043	 | 0		 | c		 | 1
0x044	 | 0		 | ]		 | 1
0x045	 | 0		 | T		 | 1
0x046	 | 0		 | c		 | 1
0x047	 | 0		 | Q		 | 1
0x048	 | 0		 | $		 | 1
0x049	 | 0		 | (		 | 1
0x04a	 | 0		 | C		 | 1
